Count,Hour,Temperature,Humidity,Seasons
381,7,-7.5,33,Winter
812,8,-8.1,36,Winter
462,9,-7.6,31,Winter
269,10,-5.5,26,Winter
334,11,-3.9,25,Winter
321,12,-2.3,25,Winter
325,13,-1.6,27,Winter
334,14,-1.1,28,Winter
353,15,-0.7,28,Winter
435,16,-0.5,30,Winter
529,17,-1.6,35,Winter
789,18,-2.6,40,Winter
597,19,-3.2,45,Winter
418,20,-3.5,46,Winter
415,21,-3.7,47,Winter
393,22,-2.8,49,Winter
244,23,-2.5,59,Winter
145,0,-2.8,77,Winter
144,1,-3,79,Winter
117,2,-3,79,Winter
78,3,-3.2,78,Winter
58,4,-3.4,75,Winter
87,5,-3.6,76,Winter
142,6,-3.7,76,Winter
379,7,-4.2,77,Winter
802,8,-4.2,78,Winter
440,9,-3.3,70,Winter
307,10,-0.9,64,Winter
381,11,1.6,57,Winter
405,12,2.4,52,Winter
442,13,4.2,47,Winter
416,14,5.5,34,Winter
412,15,5.5,31,Winter
496,16,5.3,37,Winter
239,17,4.1,60,Winter
204,18,1.7,90,Winter
205,19,1.2,92,Winter
190,20,1.2,94,Winter
165,21,1.1,92,Winter
222,22,1.3,92,Winter
193,23,1.3,92,Winter
198,0,1.4,92,Winter
218,1,1.5,92,Winter
149,2,1.4,92,Winter
102,3,1.9,91,Winter
62,4,1.6,92,Winter
83,5,1.5,92,Winter
137,6,1,93,Winter
367,7,0.3,93,Winter
754,8,-0.2,96,Winter
415,9,0.1,91,Winter
321,10,1.1,83,Winter
333,11,2.3,69,Winter
431,12,3.7,65,Winter
394,13,4.1,37,Winter
390,14,4.4,36,Winter
430,15,4,35,Winter
471,16,3.2,38,Winter
552,17,2.1,50,Winter
795,18,0.7,46,Winter
507,19,-0.4,47,Winter
390,20,-1.4,47,Winter
402,21,-2.2,46,Winter
389,22,-2.7,48,Winter
259,23,-3.2,50,Winter
233,0,-3.5,49,Winter
230,1,-3.7,50,Winter
131,2,-4.3,53,Winter
99,3,-4.8,52,Winter
71,4,-5.3,53,Winter
84,5,-5.8,56,Winter
158,6,-6,56,Winter
387,7,-6.5,57,Winter
780,8,-7,59,Winter
395,9,-6.7,50,Winter
261,10,-5.3,44,Winter
310,11,-3.7,39,Winter
355,12,-2,30,Winter
354,13,-1.7,28,Winter
350,14,-1.3,27,Winter
362,15,-0.8,26,Winter
401,16,-1.1,24,Winter
500,17,-2.4,30,Winter
752,18,-3.1,33,Winter
477,19,-3.3,35,Winter
384,20,-3.3,34,Winter
336,21,-3.3,35,Winter
347,22,-3.4,39,Winter
275,23,-3.5,43,Winter
267,0,-3.5,48,Winter
296,1,-4.1,49,Winter
237,2,-4.7,50,Winter
169,3,-4.3,47,Winter
96,4,-4.3,49,Winter
56,5,-4.7,49,Winter
76,6,-5.1,53,Winter
127,7,-5.5,56,Winter
222,8,-5.4,56,Winter
291,9,-4.7,48,Winter
273,10,-2.2,42,Winter
351,11,0,45,Winter
427,12,2.4,40,Winter
431,13,3.9,36,Winter
486,14,4.7,32,Winter
569,15,5.2,30,Winter
546,16,4.4,33,Winter
481,17,3.5,37,Winter
384,18,2.5,41,Winter
275,19,1.5,48,Winter
298,20,0.8,51,Winter
321,21,-0.1,55,Winter
289,22,-0.5,55,Winter
265,23,-0.1,54,Winter
326,0,-0.2,55,Winter
280,1,-0.2,54,Winter
243,2,0.2,52,Winter
169,3,0.3,53,Winter
71,4,0.4,52,Winter
13,5,0.3,74,Winter
9,6,-0.5,90,Winter
20,7,-0.4,92,Winter
35,8,-0.2,90,Winter
31,9,0.2,90,Winter
19,10,0.5,91,Winter
58,11,0.9,92,Winter
119,12,2.3,88,Winter
182,13,3.3,87,Winter
235,14,4.2,85,Winter
180,15,6.7,63,Winter
214,16,5.4,71,Winter
226,17,3.6,65,Winter
210,18,2,61,Winter
181,19,1.6,53,Winter
165,20,0.6,57,Winter
167,21,0,59,Winter
152,22,-1,56,Winter
148,23,-1.4,43,Winter
125,0,-2.5,39,Winter
111,1,-3.4,36,Winter
67,2,-4.2,35,Winter
45,3,-4.7,38,Winter
44,4,-5.2,35,Winter
86,5,-5.6,38,Winter
136,6,-5.9,39,Winter
325,7,-6,39,Winter
653,8,-6,38,Winter
326,9,-5.9,36,Winter
212,10,-5.3,32,Winter
226,11,-4.7,36,Winter
247,12,-5.2,33,Winter
241,13,-5.4,32,Winter
253,14,-5.4,31,Winter
269,15,-5.5,33,Winter
277,16,-6,40,Winter
361,17,-7.1,44,Winter
557,18,-7.9,43,Winter
371,19,-8.6,45,Winter
254,20,-9.3,49,Winter
266,21,-9.7,51,Winter
222,22,-10.2,50,Winter
174,23,-10.7,53,Winter
133,0,-11,51,Winter
127,1,-11.2,51,Winter
95,2,-11.5,50,Winter
54,3,-11.6,50,Winter
46,4,-11.6,47,Winter
65,5,-11.6,45,Winter
104,6,-11.8,47,Winter
280,7,-12.1,50,Winter
580,8,-12.3,52,Winter
275,9,-11.8,46,Winter
184,10,-10.5,45,Winter
201,11,-9.4,42,Winter
228,12,-8.3,35,Winter
225,13,-6.9,37,Winter
258,14,-5.4,32,Winter
250,15,-5.8,30,Winter
248,16,-6,29,Winter
305,17,-7,32,Winter
529,18,-7.7,36,Winter
350,19,-8.2,43,Winter
260,20,-8.4,42,Winter
270,21,-8.8,43,Winter
256,22,-9,45,Winter
173,23,-9.3,47,Winter
168,0,-9.5,48,Winter
183,1,-10.2,52,Winter
120,2,-10.4,53,Winter
79,3,-10.9,55,Winter
41,4,-11.4,58,Winter
68,5,-11.5,58,Winter
109,6,-11.9,57,Winter
310,7,-11.7,53,Winter
591,8,-11.4,47,Winter
340,9,-11.1,46,Winter
202,10,-9.5,39,Winter
251,11,-8.1,35,Winter
267,12,-6.5,30,Winter
251,13,-5.8,28,Winter
240,14,-4.7,27,Winter
240,15,-4.9,26,Winter
278,16,-4.5,26,Winter
392,17,-5.6,29,Winter
537,18,-6.6,33,Winter
373,19,-6.6,31,Winter
263,20,-7.6,35,Winter
271,21,-8.3,39,Winter
271,22,-8.9,39,Winter
174,23,-9.2,44,Winter
171,0,-9.5,50,Winter
170,1,-9.8,48,Winter
107,2,-10.6,44,Winter
80,3,-10.7,48,Winter
52,4,-11,50,Winter
62,5,-10.8,48,Winter
108,6,-11,55,Winter
279,7,-10.9,57,Winter
621,8,-10.4,54,Winter
305,9,-9.4,44,Winter
189,10,-7.7,43,Winter
247,11,-6.1,38,Winter
278,12,-4.9,34,Winter
282,13,-3.8,32,Winter
294,14,-2.7,28,Winter
301,15,-2.5,29,Winter
335,16,-2.4,28,Winter
382,17,-2.9,31,Winter
612,18,-3.5,35,Winter
410,19,-4.2,40,Winter
277,20,-4.8,43,Winter
316,21,-4.8,45,Winter
309,22,-4.9,44,Winter
211,23,-5.6,53,Winter
227,0,-5.7,53,Winter
241,1,-6.3,57,Winter
162,2,-6.8,58,Winter
110,3,-6.9,56,Winter
69,4,-7.1,59,Winter
68,5,-7.5,64,Winter
129,6,-7.4,64,Winter
285,7,-7,63,Winter
658,8,-6.6,64,Winter
330,9,-5.9,60,Winter
221,10,-4.6,52,Winter
279,11,-2.9,46,Winter
309,12,-2.5,43,Winter
325,13,-1.6,40,Winter
329,14,-0.7,39,Winter
342,15,0.1,35,Winter
354,16,0,37,Winter
464,17,-0.2,39,Winter
682,18,0.1,43,Winter
451,19,0.6,41,Winter
320,20,0.9,42,Winter
300,21,0.7,47,Winter
296,22,-0.1,49,Winter
247,23,-1.3,60,Winter
217,0,-2.6,73,Winter
302,1,-3.4,76,Winter
228,2,-4.1,73,Winter
129,3,-4.5,71,Winter
80,4,-5,70,Winter
45,5,-5.6,72,Winter
66,6,-6.1,69,Winter
90,7,-6.7,64,Winter
190,8,-7.3,62,Winter
195,9,-7.2,47,Winter
201,10,-6.2,42,Winter
239,11,-5.2,30,Winter
252,12,-4.1,28,Winter
296,13,-3.7,23,Winter
292,14,-3.4,22,Winter
291,15,-3.3,22,Winter
258,16,-3.3,24,Winter
277,17,-4.6,26,Winter
212,18,-5.3,28,Winter
173,19,-6,32,Winter
143,20,-6.6,37,Winter
159,21,-7.1,39,Winter
155,22,-7.6,41,Winter
142,23,-8,41,Winter
175,0,-8.1,41,Winter
146,1,-8.4,40,Winter
132,2,-8.7,40,Winter
100,3,-9,40,Winter
41,4,-9.5,40,Winter
31,5,-9.7,41,Winter
39,6,-9.9,42,Winter
53,7,-10.2,42,Winter
94,8,-10.7,43,Winter
122,9,-10.5,38,Winter
142,10,-8.5,31,Winter
189,11,-7.2,29,Winter
216,12,-4.9,25,Winter
223,13,-4.5,25,Winter
268,14,-3.2,26,Winter
278,15,-2.5,28,Winter
256,16,-2.7,31,Winter
266,17,-3.8,35,Winter
204,18,-4.7,37,Winter
157,19,-5.6,39,Winter
166,20,-6,42,Winter
168,21,-6.5,45,Winter
172,22,-6.6,50,Winter
138,23,-6.9,53,Winter
151,0,-5.9,50,Winter
97,1,-5.3,48,Winter
38,2,-5,65,Winter
32,3,-5.3,76,Winter
29,4,-5.4,81,Winter
27,5,-5.3,81,Winter
45,6,-5.2,85,Winter
96,7,-5,85,Winter
146,8,-4.6,86,Winter
52,9,-4.3,89,Winter
36,10,-3.7,87,Winter
44,11,-2.9,85,Winter
62,12,-1.8,83,Winter
76,13,-0.9,84,Winter
116,14,0.5,76,Winter
137,15,1.6,73,Winter
181,16,1.8,76,Winter
175,17,0.4,84,Winter
281,18,0,88,Winter
198,19,1.3,65,Winter
165,20,3.3,65,Winter
148,21,2.8,73,Winter
160,22,1.5,82,Winter
128,23,0.1,81,Winter
122,0,-1,73,Winter
122,1,-2,72,Winter
93,2,-2.7,72,Winter
55,3,-2.8,58,Winter
39,4,-2.9,59,Winter
55,5,-3.9,66,Winter
78,6,-4.3,70,Winter
165,7,-4.4,64,Winter
390,8,-5.2,58,Winter
199,9,-5.3,48,Winter
151,10,-4.6,41,Winter
174,11,-3.5,35,Winter
191,12,-2.5,31,Winter
189,13,-2.2,25,Winter
178,14,-2.2,23,Winter
195,15,-1.3,26,Winter
211,16,-1.8,31,Winter
256,17,-2.7,35,Winter
384,18,-3.8,42,Winter
276,19,-4.5,51,Winter
225,20,-4.9,55,Winter
224,21,-5,57,Winter
213,22,-5.5,56,Winter
149,23,-5.8,57,Winter
142,0,-6.5,63,Winter
172,1,-7.3,67,Winter
108,2,-7.8,68,Winter
71,3,-8.1,70,Winter
38,4,-8.5,73,Winter
56,5,-8.3,67,Winter
97,6,-8.2,66,Winter
213,7,-8.1,67,Winter
466,8,-7.8,65,Winter
239,9,-6.7,62,Winter
162,10,-5.4,56,Winter
204,11,-4.2,51,Winter
209,12,-3.2,49,Winter
228,13,-1.3,43,Winter
243,14,-0.5,44,Winter
240,15,-0.2,45,Winter
225,16,-0.5,48,Winter
237,17,-0.9,70,Winter
329,18,-1.4,79,Winter
190,19,-1.5,81,Winter
165,20,-1.9,86,Winter
197,21,-2,83,Winter
184,22,-1.6,82,Winter
153,23,-1.1,87,Winter
166,0,-1.3,90,Winter
189,1,-1.8,90,Winter
132,2,-2.2,88,Winter
79,3,-2.9,89,Winter
58,4,-3.6,91,Winter
49,5,-4.3,91,Winter
84,6,-4.8,91,Winter
178,7,-5.3,90,Winter
423,8,-5.6,89,Winter
265,9,-5.3,88,Winter
169,10,-3,71,Winter
243,11,-0.7,62,Winter
290,12,1.9,40,Winter
285,13,3.2,42,Winter
255,14,4.3,47,Winter
316,15,4.4,46,Winter
301,16,4.1,51,Winter
366,17,2.9,60,Winter
531,18,1.7,64,Winter
355,19,0.8,71,Winter
288,20,0.2,72,Winter
248,21,-0.4,74,Winter
252,22,-1.1,78,Winter
212,23,-1.5,79,Winter
196,0,-1.7,79,Winter
250,1,-1.6,79,Winter
161,2,-1.1,79,Winter
99,3,-0.6,76,Winter
64,4,-0.3,76,Winter
76,5,-0.2,73,Winter
114,6,-0.1,71,Winter
283,7,-0.3,72,Winter
544,8,-0.4,69,Winter
298,9,0.3,67,Winter
248,10,1.4,64,Winter
278,11,3.1,57,Winter
301,12,4.5,56,Winter
320,13,5.4,55,Winter
326,14,5.9,55,Winter
386,15,6.5,55,Winter
416,16,6,58,Winter
477,17,5.4,61,Winter
671,18,4.9,63,Winter
481,19,5.2,64,Winter
323,20,5.9,67,Winter
309,21,6.1,70,Winter
314,22,6.1,70,Winter
249,23,5.8,74,Winter
282,0,5.8,75,Winter
337,1,5.7,75,Winter
312,2,5.6,76,Winter
230,3,5.4,77,Winter
120,4,5.3,79,Winter
59,5,5,81,Winter
63,6,5.1,81,Winter
99,7,5.1,82,Winter
188,8,5.1,83,Winter
239,9,5.2,84,Winter
235,10,5.4,82,Winter
282,11,5.7,81,Winter
325,12,7,72,Winter
423,13,7.7,68,Winter
405,14,8.6,63,Winter
443,15,8.6,64,Winter
473,16,8.2,64,Winter
453,17,7.7,67,Winter
340,18,6.6,73,Winter
260,19,6,76,Winter
258,20,5.9,75,Winter
279,21,5.6,77,Winter
282,22,5.3,79,Winter
237,23,5.5,80,Winter
266,0,5.6,78,Winter
251,1,5.6,78,Winter
196,2,5.4,80,Winter
149,3,5.2,82,Winter
79,4,5.2,82,Winter
44,5,5.1,82,Winter
12,6,4.9,84,Winter
3,7,4.7,89,Winter
4,8,4.6,91,Winter
3,9,4.6,94,Winter
4,10,4.8,96,Winter
9,11,4.6,95,Winter
4,12,4.1,91,Winter
7,13,3.7,90,Winter
28,14,3.3,90,Winter
38,15,2.9,90,Winter
54,16,2.3,91,Winter
104,17,2.2,86,Winter
128,18,1.9,82,Winter
132,19,1.1,68,Winter
116,20,0.6,67,Winter
145,21,0.4,69,Winter
110,22,0.2,69,Winter
128,23,0,63,Winter
160,0,-0.6,64,Winter
132,1,-1.2,57,Winter
115,2,-1.8,53,Winter
100,3,-2.3,52,Winter
72,4,-3,51,Winter
32,5,-3.7,51,Winter
59,6,-4.1,50,Winter
61,7,-4.6,46,Winter
94,8,-4.9,44,Winter
107,9,-4.6,40,Winter
133,10,-3.7,35,Winter
179,11,-2.8,35,Winter
221,12,-1.6,33,Winter
244,13,-1.5,33,Winter
274,14,-0.4,31,Winter
319,15,0.4,28,Winter
272,16,0.4,27,Winter
260,17,-0.7,29,Winter
237,18,-1.6,33,Winter
184,19,-1.8,41,Winter
181,20,-2.1,49,Winter
185,21,-1.7,51,Winter
176,22,-1.3,53,Winter
169,23,-1,55,Winter
178,0,-1.4,58,Winter
127,1,-1.5,62,Winter
85,2,-2.1,69,Winter
72,3,-2.6,70,Winter
49,4,-2.6,72,Winter
65,5,-2.9,77,Winter
120,6,-2.8,73,Winter
296,7,-2.9,73,Winter
578,8,-2.7,68,Winter
293,9,-2.8,52,Winter
180,10,-2.2,36,Winter
250,11,-2.1,28,Winter
262,12,-1.3,23,Winter
262,13,-2,15,Winter
271,14,-1.6,20,Winter
246,15,-1.9,17,Winter
282,16,-1.9,17,Winter
350,17,-3.6,20,Winter
481,18,-4.7,23,Winter
317,19,-5.4,27,Winter
252,20,-6.1,32,Winter
220,21,-6.6,39,Winter
213,22,-7.2,38,Winter
156,23,-7.5,37,Winter
133,0,-7.9,37,Winter
142,1,-8.2,39,Winter
93,2,-8.6,37,Winter
81,3,-9.1,37,Winter
55,4,-9.1,33,Winter
66,5,-9.4,36,Winter
105,6,-9.8,37,Winter
262,7,-10.1,38,Winter
502,8,-10.2,35,Winter
279,9,-9.8,33,Winter
146,10,-8.5,29,Winter
213,11,-6.8,28,Winter
230,12,-5.5,21,Winter
258,13,-4.7,18,Winter
231,14,-4,18,Winter
228,15,-3.1,16,Winter
269,16,-3.2,23,Winter
314,17,-4.2,26,Winter
466,18,-5.2,32,Winter
315,19,-5.5,31,Winter
262,20,-5.9,34,Winter
242,21,-6.4,34,Winter
243,22,-6.4,36,Winter
216,23,-6.3,39,Winter
164,0,-6.5,41,Winter
169,1,-6.6,39,Winter
163,2,-6.6,34,Winter
86,3,-6,32,Winter
50,4,-5.8,32,Winter
61,5,-5.7,28,Winter
103,6,-5.5,24,Winter
257,7,-5,31,Winter
554,8,-4.7,30,Winter
326,9,-4.3,38,Winter
225,10,-3.4,33,Winter
288,11,-2.1,34,Winter
286,12,-0.8,38,Winter
301,13,0.8,46,Winter
311,14,0.8,55,Winter
303,15,0.4,57,Winter
390,16,0.3,57,Winter
407,17,0.2,58,Winter
552,18,-0.6,62,Winter
402,19,-0.4,62,Winter
319,20,-0.3,62,Winter
332,21,-0.2,62,Winter
285,22,0,63,Winter
260,23,0.1,63,Winter
233,0,0.2,63,Winter
269,1,0.3,63,Winter
210,2,0.5,63,Winter
135,3,0.6,64,Winter
85,4,0.6,65,Winter
67,5,0.7,66,Winter
128,6,0.8,68,Winter
289,7,0.9,67,Winter
636,8,1,68,Winter
353,9,1.2,67,Winter
252,10,1.9,65,Winter
317,11,3.1,62,Winter
363,12,4.3,62,Winter
370,13,5.2,58,Winter
419,14,5.7,54,Winter
426,15,5.7,53,Winter
504,16,5.4,56,Winter
534,17,4.5,59,Winter
574,18,3.6,62,Winter
395,19,2.7,68,Winter
292,20,1.7,73,Winter
282,21,1,77,Winter
294,22,0.8,77,Winter
236,23,0.3,80,Winter
240,0,-0.4,83,Winter
234,1,-0.5,83,Winter
192,2,-0.9,84,Winter
127,3,-1.1,83,Winter
86,4,-1.1,83,Winter
52,5,-1.2,81,Winter
62,6,-1.1,81,Winter
88,7,-0.7,79,Winter
162,8,-0.4,78,Winter
224,9,0.2,76,Winter
208,10,0.8,73,Winter
237,11,2,69,Winter
274,12,3.2,64,Winter
333,13,4,62,Winter
356,14,4.3,60,Winter
337,15,4.3,61,Winter
345,16,4.1,63,Winter
183,17,3.8,64,Winter
45,18,3,84,Winter
40,19,2.3,89,Winter
66,20,1.9,90,Winter
64,21,1.8,92,Winter
30,22,1.8,92,Winter
42,23,1.4,92,Winter
43,0,0.9,95,Winter
43,1,0.5,95,Winter
65,2,0.4,95,Winter
65,3,0.3,91,Winter
32,4,-0.2,87,Winter
22,5,-0.8,85,Winter
25,6,-1.3,84,Winter
39,7,-1.8,86,Winter
84,8,-2.1,86,Winter
103,9,-1.9,82,Winter
110,10,-0.5,73,Winter
142,11,0.8,62,Winter
209,12,1.4,47,Winter
267,13,2.5,36,Winter
262,14,3,28,Winter
300,15,3.1,25,Winter
272,16,2.7,26,Winter
240,17,1.7,30,Winter
215,18,0.7,31,Winter
163,19,0,31,Winter
161,20,-1,32,Winter
179,21,-1.6,35,Winter
155,22,-2.1,36,Winter
227,23,-2.6,40,Winter
206,0,-3.2,40,Winter
230,1,-3.3,41,Winter
178,2,-3.7,42,Winter
119,3,-4,44,Winter
62,4,-4.2,53,Winter
61,5,-4.4,54,Winter
65,6,-4.5,51,Winter
81,7,-4.7,56,Winter
89,8,-5,55,Winter
121,9,-4.3,39,Winter
139,10,-1.6,32,Winter
169,11,0.1,27,Winter
225,12,1.5,20,Winter
248,13,2.4,22,Winter
298,14,3.7,24,Winter
344,15,3,27,Winter
310,16,3,28,Winter
271,17,1.8,33,Winter
218,18,0.8,34,Winter
125,19,-0.1,39,Winter
206,20,-0.3,40,Winter
203,21,-0.9,44,Winter
168,22,-1.3,48,Winter
154,23,-1.6,51,Winter
148,0,-1.8,54,Winter
108,1,-2.1,56,Winter
69,2,-2.3,62,Winter
41,3,-2.5,62,Winter
31,4,-2.7,67,Winter
58,5,-3.1,67,Winter
139,6,-3.2,67,Winter
344,7,-3.2,69,Winter
655,8,-3.4,71,Winter
315,9,-3.1,66,Winter
208,10,-1.4,50,Winter
269,11,-0.4,40,Winter
293,12,0.9,29,Winter
273,13,1.5,23,Winter
302,14,1.7,20,Winter
295,15,1.5,22,Winter
320,16,1.3,23,Winter
373,17,0.3,27,Winter
675,18,-0.8,24,Winter
403,19,-1.3,28,Winter
364,20,-1.9,26,Winter
304,21,-2.6,28,Winter
273,22,-3.4,33,Winter
186,23,-3.8,35,Winter
160,0,-4.3,38,Winter
130,1,-5,42,Winter
110,2,-5.5,43,Winter
67,3,-6.1,45,Winter
43,4,-6.1,45,Winter
67,5,-6.4,47,Winter
137,6,-6.7,48,Winter
308,7,-6.9,48,Winter
670,8,-7,49,Winter
342,9,-6.8,44,Winter
213,10,-5.6,38,Winter
267,11,-4.5,36,Winter
297,12,-3.4,32,Winter
279,13,-2.2,31,Winter
270,14,-1.5,30,Winter
286,15,-1.1,29,Winter
299,16,-0.4,30,Winter
382,17,-1.9,35,Winter
637,18,-3.1,39,Winter
431,19,-3.7,41,Winter
294,20,-3.9,44,Winter
335,21,-4.3,47,Winter
291,22,-5.2,53,Winter
197,23,-5.9,54,Winter
159,0,-6.3,54,Winter
150,1,-6.9,56,Winter
123,2,-7.3,57,Winter
57,3,-7.4,54,Winter
38,4,-7.5,55,Winter
66,5,-7.6,49,Winter
120,6,-7.6,47,Winter
302,7,-8.1,51,Winter
646,8,-8.6,55,Winter
340,9,-7.9,48,Winter
197,10,-6.4,43,Winter
264,11,-4.4,40,Winter
290,12,-2.9,33,Winter
284,13,-2,32,Winter
262,14,-0.8,32,Winter
281,15,-1.2,31,Winter
309,16,-1.4,34,Winter
397,17,-2.1,37,Winter
603,18,-2.6,38,Winter
417,19,-2.7,39,Winter
311,20,-2.8,39,Winter
310,21,-3.1,41,Winter
306,22,-3.6,46,Winter
221,23,-4,48,Winter
202,0,-4.7,52,Winter
170,1,-5.1,51,Winter
118,2,-5.3,52,Winter
67,3,-5.5,56,Winter
47,4,-5.1,55,Winter
75,5,-5.1,55,Winter
123,6,-5.1,54,Winter
327,7,-5.3,53,Winter
665,8,-5.3,51,Winter
354,9,-4.7,49,Winter
232,10,-3.3,50,Winter
308,11,-0.7,45,Winter
362,12,-0.3,45,Winter
312,13,0.9,43,Winter
343,14,1.4,41,Winter
333,15,1.5,34,Winter
329,16,1,34,Winter
446,17,-0.6,45,Winter
635,18,-1.8,44,Winter
443,19,-2.5,49,Winter
322,20,-3.4,51,Winter
284,21,-3.5,53,Winter
281,22,-3.8,53,Winter
189,23,-3.6,50,Winter
184,0,-4.3,52,Winter
222,1,-4.8,54,Winter
176,2,-5.5,56,Winter
103,3,-5.6,56,Winter
61,4,-5.9,61,Winter
48,5,-6.1,64,Winter
69,6,-6.5,67,Winter
105,7,-6.6,65,Winter
186,8,-6.5,62,Winter
221,9,-5.8,49,Winter
204,10,-3.5,39,Winter
245,11,-1.6,35,Winter
283,12,0,35,Winter
356,13,0.9,28,Winter
370,14,1.8,29,Winter
373,15,2.3,27,Winter
352,16,2.7,27,Winter
354,17,1.1,31,Winter
271,18,-0.6,37,Winter
207,19,-1.2,37,Winter
189,20,-2.1,41,Winter
214,21,-2.5,47,Winter
218,22,-2.6,47,Winter
169,23,-3.2,50,Winter
192,0,-3.8,48,Winter
162,1,-3.9,51,Winter
128,2,-4.4,53,Winter
102,3,-4.8,56,Winter
62,4,-5.1,60,Winter
40,5,-5.6,58,Winter
38,6,-5.5,52,Winter
60,7,-5.6,58,Winter
122,8,-5.3,53,Winter
143,9,-3.8,49,Winter
179,10,-1.8,40,Winter
214,11,0.5,35,Winter
278,12,1.1,34,Winter
265,13,1.4,34,Winter
331,14,1.9,32,Winter
368,15,2.7,31,Winter
333,16,2.6,32,Winter
349,17,2.3,33,Winter
270,18,1.8,34,Winter
246,19,1.6,35,Winter
233,20,1.3,38,Winter
236,21,1.2,39,Winter
214,22,1.1,40,Winter
149,23,1.1,39,Winter
149,0,0.9,42,Winter
109,1,0.9,42,Winter
77,2,0.8,42,Winter
53,3,0.9,43,Winter
46,4,1,43,Winter
67,5,0.8,42,Winter
159,6,0.8,45,Winter
374,7,0.7,44,Winter
701,8,0.7,45,Winter
387,9,0.8,47,Winter
253,10,1.3,43,Winter
278,11,1.7,37,Winter
356,12,2.7,33,Winter
303,13,3,32,Winter
349,14,3.4,31,Winter
318,15,3.9,33,Winter
353,16,3.5,36,Winter
385,17,2.7,50,Winter
316,18,1.5,70,Winter
127,19,0.9,88,Winter
144,20,1,89,Winter
146,21,0.7,77,Winter
149,22,0.1,68,Winter
112,23,-0.6,62,Winter
100,0,-1.2,67,Winter
107,1,-1.9,69,Winter
75,2,-2.9,66,Winter
52,3,-3.4,67,Winter
38,4,-4.3,59,Winter
52,5,-5.1,48,Winter
126,6,-5.6,52,Winter
245,7,-5.9,57,Winter
554,8,-6,64,Winter
320,9,-6,61,Winter
190,10,-4.8,57,Winter
247,11,-3.9,51,Winter
262,12,-2.7,45,Winter
265,13,-2.6,45,Winter
265,14,-1.8,45,Winter
257,15,-2.4,51,Winter
262,16,-2.4,56,Winter
332,17,-2.9,66,Winter
558,18,-3.8,58,Winter
364,19,-4.5,57,Winter
302,20,-4.9,59,Winter
281,21,-4.8,59,Winter
166,22,-4.2,67,Winter
80,23,-4.9,80,Winter
61,0,-5.2,82,Winter
78,1,-5.6,75,Winter
63,2,-5.7,72,Winter
